timestamp,machine_id,batch_id,main_compression_force_kn,precompression_force_kn,ejection_force_kn,tablet_weight_mg,turret_speed_rpm,feeder_speed_rpm,vibration_rms_mm_s,bearing_temp_c,reject_flag,scenario_label,production_risk_score
2026-09-12T09:00:00+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.96,3.479,0.646,501.404,44.974,31.626,1.227,30.968,0,normal,6
2026-09-12T09:00:01+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.939,3.514,0.659,502.327,45.131,32.028,1.141,30.878,0,normal,6
2026-09-12T09:00:02+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.069,3.657,0.652,499.787,45.106,31.637,1.175,31.059,0,normal,6
2026-09-12T09:00:03+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.245,3.471,0.665,500.496,45.156,31.722,1.245,30.818,0,normal,6
2026-09-12T09:00:04+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.266,3.427,0.613,501.752,45.133,31.695,1.268,30.88,0,normal,6
2026-09-12T09:00:05+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.976,3.465,0.655,501.637,45.128,32.087,1.252,31.057,0,normal,6
2026-09-12T09:00:06+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.824,3.414,0.631,500.999,44.95,32.584,1.134,30.868,0,normal,6
2026-09-12T09:00:07+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.215,3.671,0.67,501.672,45.285,31.976,1.086,30.936,0,normal,6
2026-09-12T09:00:08+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.267,3.327,0.651,500.506,44.937,32.181,1.246,31.279,0,normal,6
2026-09-12T09:00:09+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.174,3.427,0.628,498.337,45.19,31.858,1.194,31.09,0,normal,6
2026-09-12T09:00:10+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.797,3.465,0.576,497.835,44.886,32.104,1.295,30.998,0,normal,6
2026-09-12T09:00:11+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.073,3.52,0.693,501.787,45.055,31.747,1.272,31.046,0,normal,6
2026-09-12T09:00:12+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.344,3.496,0.728,499.282,45.319,32.029,1.159,30.865,0,normal,6
2026-09-12T09:00:13+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.958,3.671,0.683,501.378,44.525,32.178,1.244,30.934,0,normal,6
2026-09-12T09:00:14+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.824,3.5,0.719,497.89,44.914,32.34,1.164,30.956,0,normal,6
2026-09-12T09:00:15+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.027,3.351,0.659,497.581,45.177,32.001,1.383,31.034,0,normal,6
2026-09-12T09:00:16+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.382,3.344,0.645,500.646,45.349,31.58,1.279,31.071,0,normal,6
2026-09-12T09:00:17+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.429,3.585,0.652,498.957,44.75,32.049,1.185,31.242,0,normal,6
