timestamp,machine_id,batch_id,main_compression_force_kn,precompression_force_kn,ejection_force_kn,tablet_weight_mg,turret_speed_rpm,feeder_speed_rpm,vibration_rms_mm_s,bearing_temp_c,tablet_hardness_kp,tablet_thickness_mm,reject_flag
2026-09-13T09:00:00+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.269,3.421,0.699,500.442,44.917,32.173,1.017,31.015,12.404,4.511,0
2026-09-13T09:00:01+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.905,3.455,0.669,500.989,44.904,32.157,1.212,31.305,11.826,4.491,0
2026-09-13T09:00:02+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.168,3.574,0.627,501.876,45.133,32.237,1.138,31.158,11.307,4.549,0
2026-09-13T09:00:03+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.268,3.618,0.596,500.256,45.176,31.552,1.14,31.016,11.683,4.461,0
2026-09-13T09:00:04+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.109,3.527,0.71,497.298,45.206,31.607,1.13,31.03,11.444,4.563,0
2026-09-13T09:00:05+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.309,3.602,0.657,501.858,44.918,31.641,1.274,31.087,11.602,4.504,0
2026-09-13T09:00:06+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.042,3.508,0.713,500.468,44.677,31.775,1.22,30.853,12.17,4.477,0
2026-09-13T09:00:07+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.086,3.603,0.653,504.501,45.262,31.527,1.318,30.978,11.954,4.503,0
2026-09-13T09:00:08+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.004,3.524,0.658,502.384,44.893,32.354,1.131,30.627,11.955,4.547,0
2026-09-13T09:00:09+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.079,3.475,0.617,500.37,44.76,32.49,1.173,31.124,11.444,4.508,0
2026-09-13T09:00:10+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.357,3.356,0.688,499.884,45.132,31.973,1.126,30.739,11.406,4.521,0
2026-09-13T09:00:11+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.144,3.517,0.634,500.827,44.997,31.403,1.19,31.132,11.928,4.49,0
2026-09-13T09:00:12+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.25,3.393,0.7,499.714,45.085,31.891,1.257,31.095,12.433,4.474,0
2026-09-13T09:00:13+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.96,3.466,0.633,502.326,45.296,31.889,1.312,30.747,11.969,4.512,0
2026-09-13T09:00:14+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.138,3.359,0.762,501.496,44.832,31.936,1.238,31.082,12.835,4.462,0
2026-09-13T09:00:15+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.053,3.569,0.609,500.082,45.446,31.94,1.238,30.874,12.416,4.477,0
2026-09-13T09:00:16+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.945,3.469,0.692,504.23,44.538,32.121,1.192,30.923,12.093,4.508,0
2026-09-13T09:00:17+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.223,3.545,0.646,499.825,45.483,31.855,1.098,31.006,12.498,4.52,0
2026-09-13T09:00:18+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.458,3.339,0.649,500.857,44.664,32.123,1.221,30.961,11.74,4.532,0
2026-09-13T09:00:19+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.305,3.479,0.627,497.59,44.778,31.997,1.153,31.04,11.723,4.494,0
2026-09-13T09:00:20+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.656,3.53,0.628,498.352,44.778,32.24,1.161,31.177,11.67,4.523,0
2026-09-13T09:00:21+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.135,3.473,0.624,498.535,45.144,31.706,1.212,30.965,11.629,4.475,0
2026-09-13T09:00:22+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.199,3.493,0.642,503.02,44.839,31.925,1.241,30.907,11.718,4.487,0
2026-09-13T09:00:23+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.942,3.461,0.766,496.067,45.486,32.374,1.129,30.967,11.368,4.51,0
2026-09-13T09:00:24+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.259,3.552,0.593,502.202,44.63,31.941,1.433,31.358,10.846,4.541,0
2026-09-13T09:00:25+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.216,3.577,0.564,504.857,44.834,31.9,1.047,31.116,11.964,4.515,0
2026-09-13T09:00:26+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.686,3.684,0.597,499.267,44.258,32.237,1.292,31.012,11.406,4.547,0
2026-09-13T09:00:27+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.278,3.513,0.699,496.048,45.638,31.387,1.135,31.067,12.259,4.48,0
2026-09-13T09:00:28+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.567,3.382,0.632,502.726,45.172,31.805,1.312,30.522,11.918,4.487,0
2026-09-13T09:00:29+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.693,3.314,0.747,499.845,45.402,31.794,1.157,30.814,12.095,4.501,0
2026-09-13T09:00:30+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,19.062,3.464,0.667,497.81,45.126,32.102,1.238,30.641,12.785,4.436,0
2026-09-13T09:00:31+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.384,3.434,0.631,499.342,44.975,31.93,0.935,30.878,12.502,4.481,0
2026-09-13T09:00:32+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.763,3.425,0.558,499.466,44.999,31.675,1.101,30.574,11.88,4.504,0
2026-09-13T09:00:33+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.982,3.492,0.647,499.316,44.822,31.408,1.224,31.354,11.167,4.529,0
2026-09-13T09:00:34+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.001,3.527,0.628,501.594,44.546,31.922,1.301,31.108,11.897,4.5,0
2026-09-13T09:00:35+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.931,3.446,0.589,504.562,44.937,32.586,1.262,31.029,11.763,4.519,0
2026-09-13T09:00:36+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.956,3.518,0.697,498.892,45.039,32.538,1.155,30.797,12.375,4.517,0
2026-09-13T09:00:37+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.216,3.521,0.636,499.337,44.887,31.854,1.205,30.942,12.063,4.488,0
2026-09-13T09:00:38+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,18.405,3.319,0.629,500.734,44.669,31.564,1.39,30.92,12.23,4.468,0
2026-09-13T09:00:39+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.999,3.558,0.562,502.761,44.941,31.5,1.144,30.847,11.548,4.499,0
2026-09-13T09:00:40+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-002,17.838,3.476,0.69,500.143,44.996,32.579,1.282,31.149,11.931,4.539,0
