file,source_url,sha256,classification
21_CFR_Part_211_2025.pdf,https://www.govinfo.gov/content/pkg/CFR-2025-title21-vol4/pdf/CFR-2025-title21-vol4-part211.pdf,c34aa9559cb32a81c3ba773ad7564dd8c5678bfa58f891af3e6c3f6cebc8f2f7,regulation/guidance/manual
FDA_Data_Integrity_CGMP.pdf,https://www.fda.gov/media/119267/download,1b5074c592ed75035022566b6e151c219b5b6349414beaf4229e73117a0997c6,regulation/guidance/manual
FDA_OOS_Investigation_2022.pdf,https://www.fda.gov/media/158416/download,610ddda142912b1dfe084afb5e1b4909af72c9b39175695e76eaf3cdad5d0e1c,regulation/guidance/manual
FDA_PAT_Framework.pdf,https://www.fda.gov/media/71012/download,6fce2130f6a65818bed8bc394af9f982fb27b24a72b44f7a9ba025682bb4830d,regulation/guidance/manual
FDA_Part_11_Electronic_Records.pdf,https://www.fda.gov/media/75414/download,306013031df65004566799023444b3fd66d17dca72eea4c7eb5bacfd4a697ac5,regulation/guidance/manual
FDA_Process_Validation_2011.pdf,https://www.fda.gov/media/85245/download,863fd5e9854736625dcb96fa8f173344ae221fca79617c444665bc915f278b77,regulation/guidance/manual
ICH_Q10_Pharmaceutical_Quality_System.pdf,https://database.ich.org/sites/default/files/Q10_Guideline.pdf,5c7dcf83d0b63bfa1c99626bae4969500bba7688170c6b4723aef040f5b5d923,regulation/guidance/manual
ICH_Q8R2_Pharmaceutical_Development.pdf,https://database.ich.org/sites/default/files/Q8_R2_Guideline.pdf,671ec3e1e1a02a027e587aa70c6dbade4700264f2fcbe2b24027e2aeaf732588,regulation/guidance/manual
ICH_Q9R1_Quality_Risk_Management.pdf,https://database.ich.org/sites/default/files/ICH_Q9(R1)_Guideline_Step4_2025_0115.pdf,eff3690df5a1eae6edffdda9849cdc1ef73879aac574e90f9592677d7fc1f188,regulation/guidance/manual
RTP41_Tablet_Press_User_Manual.pdf,https://www.lfatabletpresses.com/media/contentmanager/content/documents/RTP_41_Manual_v.1.1.2.pdf,fce7baf67b92471b0169aa3dcd6d1fc0e2048fa3374a3acbc39bc5b59eef24ed,regulation/guidance/manual
SOP-DEMO-001_Anomaly_Triage.md,local synthetic,4d72339df90b8e6ab7faa13b786d84239c4d87bb2560aab8346d07ec98ea843a,synthetic non-production SOP
SOP-DEMO-002_Weight_Variation.md,local synthetic,951643f7796b8523d8969f35d70a546dab7ffde1da4c6e46f728e2b5e3e2a1c2,synthetic non-production SOP
SOP-DEMO-003_Sticking_Picking.md,local synthetic,3e27abcb134baa144e1c543b11b6e4edc4180e77c88b49e08b94943180966480,synthetic non-production SOP
SOP-DEMO-004_Vibration.md,local synthetic,00f0a517c02b8dd459b725da8e09e67f015bc2fc475ccb241ee8aa565ddceac3,synthetic non-production SOP
SOP-DEMO-005_Human_Approval.md,local synthetic,3ffdf19edc4dfaf8e321b1c10cf7a11f8cf9f1f8270a8b64936782b1c4b20c60,synthetic non-production SOP
